circle_x,circle_y,circle_z,figureEight_x,figureEight_y,figureEight_z,loop_x,loop_y,loop_z,swoop_x,swoop_y,swoop_z,undulate_x,undulate_y,undulate_z,uShape_x,uShape_y,uShape_z
0,0,4.5,0,0.001109715,4.499999607,0,-2.499436078,4.499911618,0,1.4547,4.500034786,0,-1.96875,4.5,0,2,4.5
0,0.249583542,4.487510413,0,-0.271969937,4.476186546,0,-2.439065014,4.475674688,0,1.4078,4.236960961,0,-1.90625,4.452347495,0,1.935483871,3.887664318
0,0.496673327,4.450166445,0,-0.534603194,4.405275522,0,-2.281456124,4.396412116,0,1.3609,3.981013872,0,-1.84375,4.311221241,0,1.870967742,3.333594948
0,0.738800517,4.388341223,0,-0.776702282,4.289990236,0,-2.032892779,4.26390397,0,1.314,3.73219352,0,-1.78125,4.082044639,0,1.806451613,2.833972917
0,0.973545856,4.302652485,0,-0.988968149,4.134758809,0,-1.703284414,4.081126097,0,1.2671,3.490499904,0,-1.71875,3.773624817,0,1.741935484,2.385108709
0,1.198563847,4.193956405,0,-1.163247639,3.945543698,0,-1.305771474,3.852183293,0,1.2202,3.255933025,0,-1.65625,3.397814178,0,1.677419355,1.983442263
0,1.411606183,4.063339037,0,-1.292846657,3.729612675,0,-0.856201546,3.582217121,0,1.1733,3.028492882,0,-1.59375,2.969054912,0,1.612903226,1.625542977
0,1.610544218,3.912105468,0,-1.37278729,3.495259676,0,-0.372497565,3.277290438,0,1.1264,2.808179475,0,-1.53125,2.503823999,0,1.548387097,1.308109705
0,1.793390227,3.741766773,0,-1.39999901,3.251486225,0,0.12605672,2.94425124,0,1.0795,2.594992805,0,-1.46875,2.02,0,1.483870968,1.027970755
0,1.958317274,3.554024921,0,-1.373436612,3.007655688,0,0.61958552,2.59057887,0,1.0326,2.388932871,0,-1.40625,1.536176001,0,1.419354839,0.782083897
0,2.103677462,3.350755765,0,-1.29412036,2.773133624,0,1.088413401,2.224216048,0,0.9857,2.189999674,0,-1.34375,1.070945088,0,1.35483871,0.567536353
0,2.2280184,3.133990304,0,-1.165096801,2.55692805,0,1.513849674,1.853390491,0,0.9388,1.998193213,0,-1.28125,0.642185822,0,1.290322581,0.381544804
0,2.330097715,2.905894386,0,-0.991321743,2.367343447,0,1.878933538,1.486430142,0,0.8919,1.813513488,0,-1.21875,0.266375183,0,1.225806452,0.221455387
0,2.408895464,2.668747072,0,-0.779469906,2.211661781,0,2.169110252,1.131576141,0,0.845,1.6359605,0,-1.15625,-0.042044639,0,1.161290323,0.084743696
0,2.463624325,2.424917857,0,-0.537678544,2.095862802,0,2.372811384,0.796797742,0,0.7981,1.465534248,0,-1.09375,-0.271221241,0,1.096774194,-0.030985219
0,2.493737467,2.176843004,0,-0.275234888,2.024394362,0,2.481916015,0.489613347,0,0.7512,1.302234733,0,-1.03125,-0.412347495,0,1.032258065,-0.127996848
0,2.498934008,1.927001194,0,-0.002219429,2.000001571,0,2.492074486,0.216921655,0,0.7043,1.146061954,0,-0.96875,-0.46,0,0.967741935,-0.20842723
0,2.479162026,1.677888764,0,0.270881278,1.976378641,0,2.402881811,-0.015153266,0,0.6574,0.997015911,0,-0.90625,-0.412347495,0,0.903225806,-0.274282943
0,2.434619077,1.431994763,0,0.533577405,1.905653512,0,2.217893822,-0.201399515,0,0.6105,0.855096605,0,-0.84375,-0.271221241,0,0.838709677,-0.327441109
0,2.365750219,1.191776083,0,0.775778764,1.790539602,0,1.944485405,-0.337634401,0,0.5636,0.720304035,0,-0.78125,-0.042044639,0,0.774193548,-0.369649393
0,2.273243567,0.959632909,0,0.988182374,1.63545845,0,1.59355649,-0.420798383,0,0.5167,0.592638202,0,-0.71875,0.266375183,0,0.709677419,-0.402526006
0,2.158023417,0.737884739,0,1.162629789,1.44636674,0,1.179097508,-0.449023778,0,0.4698,0.472099105,0,-0.65625,0.642185822,0,0.64516129,-0.4275597
0,2.02124101,0.528747207,0,1.292420464,1.230527506,0,0.717631628,-0.421676703,0,0.4229,0.358686744,0,-0.59375,1.070945088,0,0.580645161,-0.446109769
0,1.86426303,0.334309947,0,1.372569124,0.996231157,0,0.22755604,-0.339371315,0,0.376,0.25240112,0,-0.53125,1.536176001,0,0.516129032,-0.459406053
0,1.688657951,0.156515711,0,1.399997251,0.752477041,0,-0.271591489,-0.203956016,0,0.3291,0.153242232,0,-0.46875,2.02,0,0.451612903,-0.468548934
0,1.49618036,-0.002859039,0,1.373651327,0.508627782,0,-0.759911522,-0.018471941,0,0.2822,0.061210081,0,-0.40625,2.503823999,0,0.387096774,-0.474509337
0,1.28875343,-0.142221883,0,1.294543302,0.274049657,0,-1.217936281,0.212915337,0,0.2353,-0.023695334,0,-0.34375,2.969054912,0,0.322580645,-0.478128731
0,1.068449701,-0.260180355,0,1.165711725,0.057752837,0,-1.627405764,0.485009359,0,0.1884,-0.101474013,0,-0.28125,3.397814178,0,0.258064516,-0.480119128
0,0.837470375,-0.355555852,0,0.992105029,-0.131954691,0,-1.971995715,0.79169948,0,0.1415,-0.172125955,0,-0.21875,3.773624817,0,0.193548387,-0.481063084
0,0.598123323,-0.427395413,0,0.780391469,-0.287786241,0,-2.23796842,1.1260981,0,0.0946,-0.235651161,0,-0.15625,4.082044639,0,0.129032258,-0.481413696
0,0.35280002,-0.474981242,0,0.538702985,-0.403756306,0,-2.414720386,1.480695348,0,0.0477,-0.29204963,0,-0.09375,4.311221241,0,0.064516129,-0.481494606
0,0.103951656,-0.497837876,0,0.27632286,-0.475410462,0,-2.49520507,1.847527734,0,0.0008,-0.341321363,0,-0.03125,4.452347495,0,0,-0.4815
0,-0.145935359,-0.495736939,0,0.003329142,-0.499996466,0,-2.476213802,2.218356994,0,-0.0461,-0.38346636,0,0.03125,4.5,0,0,-0.4815
0,-0.394364235,-0.468699425,0,-0.269792448,-0.476569965,0,-2.358503704,2.584855101,0,-0.093,-0.41848462,0,0.09375,4.452347495,0,-0.064516129,-0.481494606
0,-0.638852755,-0.416995481,0,-0.532551281,-0.406030775,0,-2.146767507,2.938791298,0,-0.1399,-0.446376144,0,0.15625,4.311221241,0,-0.129032258,-0.481413696
0,-0.876958069,-0.341141718,0,-0.774854759,-0.291088314,0,-1.849446463,3.272216942,0,-0.1868,-0.467140931,0,0.21875,4.082044639,0,-0.193548387,-0.481063084
0,-1.106301108,-0.241896041,0,-0.987395979,-0.136157535,0,-1.478393825,3.577644011,0,-0.2337,-0.480778982,0,0.28125,3.773624817,0,-0.258064516,-0.480119128
0,-1.324590352,-0.120250079,0,-1.162011209,0.052810655,0,-1.04840229,3.848213272,0,-0.2806,-0.487290297,0,0.34375,3.397814178,0,-0.322580645,-0.478128731
0,-1.529644727,0.02258072,0,-1.291993459,0.268557965,0,-0.576614265,4.077848322,0,-0.3275,-0.486674875,0,0.40625,2.969054912,0,-0.387096774,-0.474509337
0,-1.719415398,0.185169239,0,-1.372350096,0.502797518,0,-0.081838448,4.261392054,0,-0.3744,-0.478932717,0,0.46875,2.503823999,0,-0.451612903,-0.468548934
0,-1.892006238,0.365890948,0,-1.399994612,0.746532145,0,0.416200009,4.39472247,0,-0.4213,-0.464063822,0,0.53125,2.02,0,-0.516129032,-0.459406053
0,-2.045692778,0.562940134,0,-1.373865179,0.990399973,0,0.897645885,4.474845258,0,-0.4682,-0.442068191,0,0.59375,1.536176001,0,-0.580645161,-0.446109769
0,-2.178939431,0.774347947,0,-1.294965431,1.225034012,0,1.343305453,4.499961031,0,-0.5151,-0.412945824,0,0.65625,1.070945088,0,-0.64516129,-0.4275597
0,-2.290414842,0.99800207,0,-1.166325916,1.44142194,0,1.735411671,4.469505744,0,-0.562,-0.37669672,0,0.71875,0.642185822,0,-0.709677419,-0.402526006
0,-2.379005185,1.231667825,0,-0.992887692,1.631252275,0,2.058332502,4.384163357,0,-0.6089,-0.33332088,0,0.78125,0.266375183,0,-0.774193548,-0.369649393
0,-2.443825294,1.473010501,0,-0.781312541,1.787233612,0,2.299194112,4.245850476,0,-0.6558,-0.282818303,0,0.84375,-0.042044639,0,-0.838709677,-0.327441109
0,-2.484227509,1.719618683,0,-0.539727088,1.90337469,0,2.448394108,4.057673311,0,-0.7027,-0.22518899,0,0.90625,-0.271221241,0,-0.903225806,-0.274282943
0,-2.499808144,1.969028341,0,-0.277410658,1.975214516,0,2.499984357,3.823857913,0,-0.7496,-0.160432941,0,0.96875,-0.412347495,0,-0.967741935,-0.20842723
0,-2.490411522,2.218747459,0,-0.004438853,1.999993717,0,2.451908119,3.549655275,0,-0.7965,-0.088550155,0,1.03125,-0.46,0,-1.032258065,-0.127996848
0,-2.456131532,2.466280924,0,0,2,0,2.306082042,3.241223394,0,-0.8434,-0.009540633,0,1.09375,-0.412347495,0,-1.096774194,-0.030985219
0,-2.397310687,2.709155464,0,0.273058426,2.02400632,0,2.068319751,2.905488987,0,-0.8903,0.076595626,0,1.15625,-0.271221241,0,-1.161290323,0.084743696
0,-2.314536706,2.944944357,0,0.535628647,2.095103194,0,1.748100079,2.549991924,0,-0.9372,0.169858621,0,1.21875,-0.042044639,0,-1.225806452,0.221455387
0,-2.208636639,3.171291678,0,0.777625312,2.210559783,0,1.358189173,2.182715904,0,-0.9841,0.270248352,0,1.28125,0.266375183,0,-1.290322581,0.381544804
0,-2.080668606,3.38593584,0,0.989753302,2.365941388,0,0.914131551,1.811909153,0,-1.031,0.37776482,0,1.34375,0.642185822,0,-1.35483871,0.567536353
0,-1.931911219,3.58673219,0,1.163864758,2.555279782,0,0.433630388,1.445899193,0,-1.0779,0.492408024,0,1.40625,1.070945088,0,-1.419354839,0.782083897
0,-1.763850814,3.771674436,0,1.293272037,2.771302457,0,-0.06415825,1.092905817,0,-1.1248,0.614177965,0,1.46875,1.536176001,0,-1.483870968,1.027970755
0,-1.578166595,3.938914696,0,1.373004594,3.005711959,0,-0.5593891,0.760856495,0,-1.1717,0.743074642,0,1.53125,2.02,0,-1.548387097,1.308109705
0,-1.376713856,4.086781962,0,1.39999989,3.249504592,0,-1.032318873,0.457208341,0,-1.2186,0.879098055,0,1.53125,2.02,0,-1.612903226,1.625542977
0,-1.161505449,4.213798792,0,1.373221034,3.493316253,0,-1.46409335,0.188780636,0,-1.2655,1.022248205,0,1.59375,2.503823999,0,-1.677419355,1.983442263
0,-0.934691662,4.318696077,0,1.293696605,3.72778211,0,-1.837499045,-0.038398312,0,-1.3124,1.172525091,0,1.65625,2.969054912,0,-1.741935484,2.385108709
0,-0.698538745,4.400425717,0,1.164481145,3.943896302,0,-2.137649452,-0.219226553,0,-1.3593,1.329928714,0,1.71875,3.397814178,0,-1.806451613,2.833972917
0,-0.455406261,4.458171096,0,0.990537834,4.13335786,0,-2.352578521,-0.349643076,0,-1.4062,1.494459073,0,1.78125,3.773624817,0,-1.870967742,3.333594948
0,-0.207723507,4.491355243,0,0.778547854,4.288889544,0,-2.473717708,-0.426719005,0,-1.4531,1.666116168,0,1.84375,4.082044639,0,-1.935483871,3.887664318
0,0.042034751,4.499646591,0,0.536653764,4.404517365,0,-2.496237577,-0.448723382,0,-1.5,1.8449,0,1.90625,4.311221241,0,-2,4.5
0,0.291373012,4.482962297,0,0.274146743,4.475800044,0,-2.499436078,-0.448723382,0,-1.5,1.8449,0,1.96875,4.452347495,0,-2,4.5
0,0,4.5,0,-0.001109715,4.499999607,0,-2.439065014,-0.426719005,0,-1.4531,1.666116168,0,1.96875,4.5,0,-1.935483871,3.887664318
0,-0.249583542,4.487510413,0,0.271969937,4.476186546,0,-2.281456124,-0.349643076,0,-1.4062,1.494459073,0,1.90625,4.452347495,0,-1.870967742,3.333594948
0,-0.496673327,4.450166445,0,0.534603194,4.405275522,0,-2.032892779,-0.219226553,0,-1.3593,1.329928714,0,1.84375,4.311221241,0,-1.806451613,2.833972917
0,-0.738800517,4.388341223,0,0.776702282,4.289990236,0,-1.703284414,-0.038398312,0,-1.3124,1.172525091,0,1.78125,4.082044639,0,-1.741935484,2.385108709
0,-0.973545856,4.302652485,0,0.988968149,4.134758809,0,-1.305771474,0.188780636,0,-1.2655,1.022248205,0,1.71875,3.773624817,0,-1.677419355,1.983442263
0,-1.198563847,4.193956405,0,1.163247639,3.945543698,0,-0.856201546,0.457208341,0,-1.2186,0.879098055,0,1.65625,3.397814178,0,-1.612903226,1.625542977
0,-1.411606183,4.063339037,0,1.292846657,3.729612675,0,-0.372497565,0.760856495,0,-1.1717,0.743074642,0,1.59375,2.969054912,0,-1.548387097,1.308109705
0,-1.610544218,3.912105468,0,1.37278729,3.495259676,0,0.12605672,1.092905817,0,-1.1248,0.614177965,0,1.53125,2.503823999,0,-1.483870968,1.027970755
0,-1.793390227,3.741766773,0,1.39999901,3.251486225,0,0.61958552,1.445899193,0,-1.0779,0.492408024,0,1.53125,2.02,0,-1.419354839,0.782083897
0,-1.958317274,3.554024921,0,1.373436612,3.007655688,0,1.088413401,1.811909153,0,-1.031,0.37776482,0,1.46875,1.536176001,0,-1.35483871,0.567536353
0,-2.103677462,3.350755765,0,1.29412036,2.773133624,0,1.513849674,2.182715904,0,-0.9841,0.270248352,0,1.40625,1.070945088,0,-1.290322581,0.381544804
0,-2.2280184,3.133990304,0,1.165096801,2.55692805,0,1.878933538,2.549991924,0,-0.9372,0.169858621,0,1.34375,0.642185822,0,-1.225806452,0.221455387
0,-2.330097715,2.905894386,0,0.991321743,2.367343447,0,2.169110252,2.905488987,0,-0.8903,0.076595626,0,1.28125,0.266375183,0,-1.161290323,0.084743696
0,-2.408895464,2.668747072,0,0.779469906,2.211661781,0,2.372811384,3.241223394,0,-0.8434,-0.009540633,0,1.21875,-0.042044639,0,-1.096774194,-0.030985219
0,-2.463624325,2.424917857,0,0.537678544,2.095862802,0,2.481916015,3.549655275,0,-0.7965,-0.088550155,0,1.15625,-0.271221241,0,-1.032258065,-0.127996848
0,-2.493737467,2.176843004,0,0.275234888,2.024394362,0,2.492074486,3.823857913,0,-0.7496,-0.160432941,0,1.09375,-0.412347495,0,-0.967741935,-0.20842723
0,-2.498934008,1.927001194,0,0.002219429,2.000001571,0,2.402881811,4.057673311,0,-0.7027,-0.22518899,0,1.03125,-0.46,0,-0.903225806,-0.274282943
0,-2.479162026,1.677888764,0,-0.270881278,1.976378641,0,2.217893822,4.245850476,0,-0.6558,-0.282818303,0,0.96875,-0.412347495,0,-0.838709677,-0.327441109
0,-2.434619077,1.431994763,0,-0.533577405,1.905653512,0,1.944485405,4.384163357,0,-0.6089,-0.33332088,0,0.90625,-0.271221241,0,-0.774193548,-0.369649393
0,-2.365750219,1.191776083,0,-0.775778764,1.790539602,0,1.59355649,4.469505744,0,-0.562,-0.37669672,0,0.84375,-0.042044639,0,-0.709677419,-0.402526006
0,-2.273243567,0.959632909,0,-0.988182374,1.63545845,0,1.179097508,4.499961031,0,-0.5151,-0.412945824,0,0.78125,0.266375183,0,-0.64516129,-0.4275597
0,-2.158023417,0.737884739,0,-1.162629789,1.44636674,0,0.717631628,4.474845258,0,-0.4682,-0.442068191,0,0.71875,0.642185822,0,-0.580645161,-0.446109769
0,-2.02124101,0.528747207,0,-1.292420464,1.230527506,0,0.22755604,4.39472247,0,-0.4213,-0.464063822,0,0.65625,1.070945088,0,-0.516129032,-0.459406053
0,-1.86426303,0.334309947,0,-1.372569124,0.996231157,0,-0.271591489,4.261392054,0,-0.3744,-0.478932717,0,0.59375,1.536176001,0,-0.451612903,-0.468548934
0,-1.688657951,0.156515711,0,-1.399997251,0.752477041,0,-0.759911522,4.077848322,0,-0.3275,-0.486674875,0,0.53125,2.02,0,-0.387096774,-0.474509337
0,-1.49618036,-0.002859039,0,-1.373651327,0.508627782,0,-1.217936281,3.848213272,0,-0.2806,-0.487290297,0,0.46875,2.503823999,0,-0.322580645,-0.478128731
0,-1.28875343,-0.142221883,0,-1.294543302,0.274049657,0,-1.627405764,3.577644011,0,-0.2337,-0.480778982,0,0.40625,2.969054912,0,-0.258064516,-0.480119128
0,-1.068449701,-0.260180355,0,-1.165711725,0.057752837,0,-1.971995715,3.272216942,0,-0.1868,-0.467140931,0,0.34375,3.397814178,0,-0.193548387,-0.481063084
0,-0.837470375,-0.355555852,0,-0.992105029,-0.131954691,0,-2.23796842,2.938791298,0,-0.1399,-0.446376144,0,0.28125,3.773624817,0,-0.129032258,-0.481413696
0,-0.598123323,-0.427395413,0,-0.780391469,-0.287786241,0,-2.414720386,2.584855101,0,-0.093,-0.41848462,0,0.21875,4.082044639,0,-0.064516129,-0.481494606
0,-0.35280002,-0.474981242,0,-0.538702985,-0.403756306,0,-2.49520507,2.218356994,0,-0.0461,-0.38346636,0,0.15625,4.311221241,0,0,-0.4815
0,-0.103951656,-0.497837876,0,-0.27632286,-0.475410462,0,-2.476213802,1.847527734,0,0.0008,-0.341321363,0,0.09375,4.452347495,0,0,-0.4815
0,0.145935359,-0.495736939,0,-0.003329142,-0.499996466,0,-2.358503704,1.480695348,0,0.0477,-0.29204963,0,0.03125,4.5,0,0.064516129,-0.481494606
0,0.394364235,-0.468699425,0,0.269792448,-0.476569965,0,-2.146767507,1.1260981,0,0.0946,-0.235651161,0,-0.03125,4.452347495,0,0.129032258,-0.481413696
0,0.638852755,-0.416995481,0,0.532551281,-0.406030775,0,-1.849446463,0.79169948,0,0.1415,-0.172125955,0,-0.09375,4.311221241,0,0.193548387,-0.481063084
0,0.876958069,-0.341141718,0,0.774854759,-0.291088314,0,-1.478393825,0.485009359,0,0.1884,-0.101474013,0,-0.15625,4.082044639,0,0.258064516,-0.480119128
0,1.106301108,-0.241896041,0,0.987395979,-0.136157535,0,-1.04840229,0.212915337,0,0.2353,-0.023695334,0,-0.21875,3.773624817,0,0.322580645,-0.478128731
0,1.324590352,-0.120250079,0,1.162011209,0.052810655,0,-0.576614265,-0.018471941,0,0.2822,0.061210081,0,-0.28125,3.397814178,0,0.387096774,-0.474509337
0,1.529644727,0.02258072,0,1.291993459,0.268557965,0,-0.081838448,-0.203956016,0,0.3291,0.153242232,0,-0.34375,2.969054912,0,0.451612903,-0.468548934
0,1.719415398,0.185169239,0,1.372350096,0.502797518,0,0.416200009,-0.339371315,0,0.376,0.25240112,0,-0.40625,2.503823999,0,0.516129032,-0.459406053
0,1.892006238,0.365890948,0,1.399994612,0.746532145,0,0.897645885,-0.421676703,0,0.4229,0.358686744,0,-0.46875,2.02,0,0.580645161,-0.446109769
0,2.045692778,0.562940134,0,1.373865179,0.990399973,0,1.343305453,-0.449023778,0,0.4698,0.472099105,0,-0.53125,1.536176001,0,0.64516129,-0.4275597
0,2.178939431,0.774347947,0,1.294965431,1.225034012,0,1.735411671,-0.420798383,0,0.5167,0.592638202,0,-0.59375,1.070945088,0,0.709677419,-0.402526006
0,2.290414842,0.99800207,0,1.166325916,1.44142194,0,2.058332502,-0.337634401,0,0.5636,0.720304035,0,-0.65625,0.642185822,0,0.774193548,-0.369649393
0,2.379005185,1.231667825,0,0.992887692,1.631252275,0,2.299194112,-0.201399515,0,0.6105,0.855096605,0,-0.71875,0.266375183,0,0.838709677,-0.327441109
0,2.443825294,1.473010501,0,0.781312541,1.787233612,0,2.448394108,-0.015153266,0,0.6574,0.997015911,0,-0.78125,-0.042044639,0,0.903225806,-0.274282943
0,2.484227509,1.719618683,0,0.539727088,1.90337469,0,2.499984357,0.216921655,0,0.7043,1.146061954,0,-0.84375,-0.271221241,0,0.967741935,-0.20842723
0,2.499808144,1.969028341,0,0.277410658,1.975214516,0,2.451908119,0.489613347,0,0.7512,1.302234733,0,-0.90625,-0.412347495,0,1.032258065,-0.127996848
0,2.490411522,2.218747459,0,0.004438853,1.999993717,0,2.306082042,0.796797742,0,0.7981,1.465534248,0,-0.96875,-0.46,0,1.096774194,-0.030985219
0,2.456131532,2.466280924,0,0,2,0,2.068319751,1.131576141,0,0.845,1.6359605,0,-1.03125,-0.412347495,0,1.161290323,0.084743696
0,2.397310687,2.709155464,0,-0.273058426,2.02400632,0,1.748100079,1.486430142,0,0.8919,1.813513488,0,-1.09375,-0.271221241,0,1.225806452,0.221455387
0,2.314536706,2.944944357,0,-0.535628647,2.095103194,0,1.358189173,1.853390491,0,0.9388,1.998193213,0,-1.15625,-0.042044639,0,1.290322581,0.381544804
0,2.208636639,3.171291678,0,-0.777625312,2.210559783,0,0.914131551,2.224216048,0,0.9857,2.189999674,0,-1.21875,0.266375183,0,1.35483871,0.567536353
0,2.080668606,3.38593584,0,-0.989753302,2.365941388,0,0.433630388,2.59057887,0,1.0326,2.388932871,0,-1.28125,0.642185822,0,1.419354839,0.782083897
0,1.931911219,3.58673219,0,-1.163864758,2.555279782,0,-0.06415825,2.94425124,0,1.0795,2.594992805,0,-1.34375,1.070945088,0,1.483870968,1.027970755
0,1.763850814,3.771674436,0,-1.293272037,2.771302457,0,-0.5593891,3.277290438,0,1.1264,2.808179475,0,-1.40625,1.536176001,0,1.548387097,1.308109705
0,1.578166595,3.938914696,0,-1.373004594,3.005711959,0,-1.032318873,3.582217121,0,1.1733,3.028492882,0,-1.46875,2.02,0,1.612903226,1.625542977
0,1.376713856,4.086781962,0,-1.39999989,3.249504592,0,-1.46409335,3.852183293,0,1.2202,3.255933025,0,-1.53125,2.02,0,1.677419355,1.983442263
0,1.161505449,4.213798792,0,-1.373221034,3.493316253,0,-1.837499045,4.081126097,0,1.2671,3.490499904,0,-1.59375,2.503823999,0,1.741935484,2.385108709
0,0.934691662,4.318696077,0,-1.293696605,3.72778211,0,-2.137649452,4.26390397,0,1.314,3.73219352,0,-1.65625,2.969054912,0,1.806451613,2.833972917
0,0.698538745,4.400425717,0,-1.164481145,3.943896302,0,-2.352578521,4.396412116,0,1.3609,3.981013872,0,-1.71875,3.397814178,0,1.870967742,3.333594948
0,0.455406261,4.458171096,0,-0.990537834,4.13335786,0,-2.473717708,4.475674688,0,1.4078,4.236960961,0,-1.78125,3.773624817,0,1.935483871,3.887664318
0,0.207723507,4.491355243,0,-0.778547854,4.288889544,0,-2.496237577,4.499911618,0,1.4547,4.500034786,0,-1.84375,4.082044639,0,2,4.5
